X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m,Filing_Date,Purchase_Value
,2022-07-29 16:00:35,2022-07-28,MDIA  ,Mediaco Holding Inc.                               ,Standard General L.P.                                     ,10%                                  ,P - Purchase,$2.32           ,"+12,899,480 ","19,102,596   ",+208%,"+$29,873,906   ",,,,,2022-07-29,29873906.0
,2022-07-25 08:45:31,2022-07-22,HSAQ  ,Health Sciences Acquisitions Corp 2                ,Wong Roderick                                             ,CEO                                  ,P - Purchase,$10.01          ,"+1,000,000  ","1,000,000    ",New  ,"+$10,010,000   ",,,,,2022-07-25,10010000.0
AD ,2022-07-19 14:49:25,2022-07-18,OXY   ,Occidental Petroleum Corp /De/                     ,Berkshire Hathaway Inc                                    ,10%                                  ,P - Purchase,$59.67          ,"+242,241    ","181,784,791  ",0%   ,"+$14,455,320   ",,,,,2022-07-19,14455320.0
DM ,2022-07-18 17:32:06,2022-07-14,OXY   ,Occidental Petroleum Corp /De/                     ,Berkshire Hathaway Inc                                    ,10%                                  ,P - Purchase,$57.70          ,"+1,942,900  ","181,784,791  ",+1%  ,"+$112,113,273  ",,,,,2022-07-18,112113273.0
,2022-07-14 21:01:10,2022-07-13,SONM  ,Sonim Technologies Inc                             ,Wang Jeffrey                                              ,"Dir, 10%                           ",P - Purchase,$0.84           ,"+13,928,571 ","13,928,571   ",New  ,"+$11,700,000   ",,,,,2022-07-14,11700000.0
,2022-07-14 16:49:58,2022-07-13,MSM   ,Msc Industrial Direct Co Inc                       ,Jacobson Mitchell                                         ,"Dir, 10%                           ",P - Purchase,$72.25          ,"+200,000    ","272,450      ",+276%,"+$14,450,000   ",,,,,2022-07-14,14450000.0
DM ,2022-07-13 21:27:34,2022-07-08,ETTX  ,Entasis Therapeutics Holdings Inc.                 ,"Innoviva, Inc.                                          ",10%                                  ,P - Purchase,$2.20           ,"+19,270,476 ","47,943,373   ",+67% ,"+$42,395,047   ",,,,,2022-07-13,42395047.0
DM ,2022-07-13 19:03:58,2022-07-11,OXY   ,Occidental Petroleum Corp /De/                     ,Berkshire Hathaway Inc                                    ,10%                                  ,P - Purchase,$58.05          ,"+4,304,146  ","179,841,891  ",+2%  ,"+$249,841,853  ",,,,,2022-07-13,249841853.0
M  ,2022-07-12 18:27:11,2022-07-08,SBOW  ,"Silverbow Resources, Inc.                        ","Kimmeridge Energy Management Company, LLC               ",10%                                  ,P - Purchase,$29.37          ,"+578,378    ","9,084,069    ",+7%  ,"+$16,985,653   ",,,,,2022-07-12,16985653.0
DM ,2022-07-07 17:00:31,2022-07-05,OXY   ,Occidental Petroleum Corp /De/                     ,Berkshire Hathaway Inc                                    ,10%                                  ,P - Purchase,$57.94          ,"+12,042,470 ","175,537,745  ",+7%  ,"+$697,777,947  ",,,,,2022-07-07,697777947.0
,2022-07-07 17:00:24,2022-07-05,MCRB  ,"Seres Therapeutics, Inc.                         ",Nutritional Health Ltp Fund General Partner LLC           ,10%                                  ,P - Purchase,$3.15           ,"+8,738,243  ","23,493,063   ",+59% ,"+$27,525,465   ",,,,,2022-07-07,27525465.0
DM ,2022-07-01 21:14:50,2022-06-29,OXY   ,Occidental Petroleum Corp /De/                     ,Berkshire Hathaway Inc                                    ,10%                                  ,P - Purchase,$58.91          ,"+9,887,040  ","163,495,275  ",+6%  ,"+$582,449,440  ",,,,,2022-07-01,582449440.0
M  ,2022-07-01 13:23:20,2022-06-29,KRTX  ,"Karuna Therapeutics, Inc.                        ",Healy James                                               ,Dir                                  ,P - Purchase,$122.80         ,"+120,000    ","2,073,124    ",+6%  ,"+$14,736,158   ",,,,,2022-07-01,14736158.0
D  ,2022-06-27 18:43:23,2022-06-23,OXY   ,Occidental Petroleum Corp /De/                     ,Berkshire Hathaway Inc                                    ,10%                                  ,P - Purchase,$55.39          ,"+794,389    ","153,608,235  ",+1%  ,"+$44,001,440   ",,,,,2022-06-27,44001440.0
DM ,2022-06-22 18:21:06,2022-06-17,OXY   ,Occidental Petroleum Corp /De/                     ,Berkshire Hathaway Inc                                    ,10%                                  ,P - Purchase,$55.36          ,"+9,551,454  ","152,813,846  ",+7%  ,"+$528,786,958  ",,,,,2022-06-22,528786958.0
,2022-06-22 17:09:25,2022-06-17,DAWN  ,"Day One Biopharmaceuticals, Inc.                 ","Atlas Venture Opportunity Fund Ii, L.P.                 ",10%                                  ,P - Purchase,$15.00          ,"+766,667    ","8,984,019    ",+9%  ,"+$11,500,005   ",,,,,2022-06-22,11500005.0
