Ticker,Filing_Date,Purchase_Value
RRR   ,2024-05-15,40312000.0
RUM   ,2022-09-20,11590000.0
RVMD  ,2023-03-10,14145604.0
RVMD  ,2024-12-09,59999962.0
RXO   ,2024-02-06,15135336.0
RXO   ,2024-02-12,37879453.0
RXO   ,2024-04-19,24305626.0
RXO   ,2024-08-14,207492230.0
RYAN  ,2022-11-21,11021025.0
RYAN  ,2022-11-22,10923930.0
RYAN  ,2022-11-23,11054570.0
RYAN  ,2025-09-15,14340264.0
RYZB  ,2023-09-21,50000004.0
RZLT  ,2024-03-19,17000003.0
SATS  ,2024-11-14,43499994.0
SBOW  ,2022-07-12,3465073212.0
SCU   ,2023-11-20,376743303.0
SEPN  ,2024-10-28,11700000.0
SEPN  ,2024-10-30,75060000.0
SFD   ,2025-01-30,64000000.0
SFD   ,2025-09-09,41850000.0
SGTX  ,2023-08-14,25639916.0
SION  ,2025-02-10,20250000.0
SION  ,2025-02-12,20250000.0
SIRE  ,2023-05-26,131443725.0
SIRI  ,2024-10-11,86730943.0
SIRI  ,2024-10-18,42143337.0
SIRI  ,2024-10-31,60692845.0
SIRI  ,2024-12-19,107234753.0
SIRI  ,2025-02-03,53957343.0
SIRI  ,2025-08-04,106454379.0
SIX   ,2022-05-17,5003589192.0
SIX   ,2022-08-15,25009160.0
SIX   ,2022-08-23,23225900.0
SIX   ,2022-11-14,26088582.0
SKYE  ,2024-02-02,12026031.0
SLDB  ,2024-01-12,18861243.0
SLDB  ,2025-02-21,20150000.0
SLNO  ,2023-09-28,15113916.0
SLRN  ,2023-05-11,46080000.0
SLSN  ,2025-06-02,28093800.0
SMFR  ,2022-05-03,22746000000.0
SMFR  ,2022-05-05,5100000000.0
SMMT  ,2022-08-18,92003727.0
SMMT  ,2023-03-08,420017770.0
SMMT  ,2023-03-13,24703396.0
SNDA  ,2024-02-05,10000004.0
SNX   ,2022-10-06,877827292.0
SOC   ,2024-02-16,92200055.0
SOC   ,2024-09-23,15000000.0
SOC   ,2025-10-17,14777319.0
SONM  ,2022-07-14,2386800000.0
SONO  ,2025-07-29,14803883.0
SPRY  ,2023-08-31,23250000.0
SPRY  ,2024-03-27,13289410.0
SQ    ,2023-11-13,27515119.0
SQ    ,2024-08-08,25001587.0
SRLP  ,2022-11-01,133787660.0
SRRK  ,2023-10-16,15086736.0
SRRK  ,2023-10-18,30000000.0
SRRK  ,2025-10-07,18807352.0
SRZN  ,2025-03-28,11999991.0
ST    ,2024-05-06,10636267.0
STAA  ,2023-09-21,11689354.0
STAA  ,2023-11-06,10797514.0
STAA  ,2023-11-30,13703831.0
STAA  ,2025-03-03,11275555.0
STAA  ,2025-04-07,13627504.0
STSA  ,2023-06-08,47803114.0
SUNS  ,2025-01-29,12000000.0
SWX   ,2023-03-10,140250040.0
SWX   ,2023-03-14,32015082.0
SWX   ,2023-03-17,12289825.0
SWX   ,2023-03-23,31627639.0
SWX   ,2023-03-28,18544810.0
SWX   ,2023-05-26,12907426.0
SYM   ,2023-07-25,500000002.0
TAKAX ,2022-09-06,18000000.0
TAKAX ,2023-06-16,20000000.0
TAKNX ,2025-03-24,40000000.0
TALO  ,2023-11-13,21704007.0
TALO  ,2024-01-19,229999992.0
TALO  ,2024-03-15,14255198.0
TALO  ,2024-05-31,20052760.0
TALO  ,2024-08-05,10280367.0
TALO  ,2024-09-05,26547134.0
TBN   ,2024-07-02,12000000.0
TBPH  ,2024-05-03,13117335.0
TDG   ,2022-05-23,5432532852.0
TDG   ,2022-06-03,5432532852.0
TECX  ,2024-10-24,10077000.0
TECX  ,2025-02-07,39999977.0
TGLS  ,2023-03-09,21950351.0
THS   ,2025-05-12,12660607.0
TKNO  ,2023-09-21,14999998.0
TKNO  ,2024-07-16,14999999.0
TKO   ,2024-04-11,292481520.0
TKO   ,2024-10-01,146240760.0
TKO   ,2024-12-13,144400146.0
TKO   ,2024-12-18,232209852.0
TKO   ,2025-01-22,150844020.0
TKO   ,2025-01-27,143995800.0
TKO   ,2025-01-30,122133597.0
TKO   ,2025-02-04,118661325.0
TKO   ,2025-02-07,162545310.0
TKO   ,2025-02-12,204385413.0
TKO   ,2025-06-04,499999892.0
TNYA  ,2022-11-23,49999996.0
